X,Y,Z,Day,Date,Time,Lat,Long,Place
-0.32800564,0.5351041,8.98903,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
-0.05865794,1.459266,7.303512,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
0.39743748,1.6065093,6.631939,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
2.433706,3.0250738,11.4837885,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
1.8902222,0.059855044,12.592304,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
-1.316811,-0.90620536,12.861651,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
-1.8626889,-0.81522566,14.435839,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
-1.2090719,-0.5781997,13.602657,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
0.015562311,0.22864626,10.048465,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
2.0590134,1.8579005,7.967903,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
3.1675289,2.779668,7.417237,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
2.813187,2.2948422,8.876503,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
1.6184803,1.1731589,11.112687,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
0.7038953,0.11492168,11.848905,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
-0.40821138,-0.24779987,10.327389,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
-0.6404489,-0.21188685,9.216479,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
-0.91099375,-0.48003745,7.991845,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
-0.001197101,1.1109096,6.944382,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
0.01316811,1.1324574,7.2029557,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
0.46686932,1.4377182,8.486248,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
0.47524905,1.4329298,8.827422,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
0.39145198,1.4377182,7.8290396,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
1.0534488,2.5474305,6.963536,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
1.0546459,3.4751837,6.6103907,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
0.24660277,3.039439,8.111555,Mondayy,4/4/2016,9.06am,39,-94,Miller Nichols Library
-1.1168951,1.5334862,11.798626,Mondayy,4/4/2016,9.07am,39,-94,Miller Nichols Library
-1.7764976,0.40342298,14.277822,Mondayy,4/4/2016,9.07am,39,-94,Miller Nichols Library
-1.8531121,0.5446809,14.700398,Mondayy,4/4/2016,9.07am,39,-94,Miller Nichols Library
-1.3443443,1.1875241,14.288596,Mondayy,4/4/2016,9.07am,39,-94,Miller Nichols Library
-0.5374983,2.1152773,12.510901,Mondayy,4/4/2016,9.07am,39,-94,Miller Nichols Library
-0.16280572,2.4720132,10.291476,Mondayy,4/4/2016,9.07am,39,-94,Miller Nichols Library
-1.2234371,1.9596541,8.896853,Mondayy,4/4/2016,9.07am,39,-94,Miller Nichols Library
-1.7717092,0.82480246,9.994595,Mondayy,4/4/2016,9.07am,39,-94,Miller Nichols Library
-1.7322049,0.06464344,11.537658,Mondayy,4/4/2016,9.07am,39,-94,Miller Nichols Library
-1.0187328,-0.08020575,12.460623,Mondayy,4/4/2016,9.07am,39,-94,Miller Nichols Library
-1.5813702,-0.25737667,13.802573,Mondayy,4/4/2016,9.07am,39,-94,Miller Nichols Library
-3.052607,-1.3934253,14.595054,Mondayy,4/4/2016,9.07am,39,-94,Miller Nichols Library
-2.8766334,-1.7429788,12.5743475,Mondayy,4/4/2016,9.07am,39,-94,Miller Nichols Library
