X,Y,Z,TimeStmp,Day,Time,,,,,,,,,,,
-0.5398925,3.5529952,9.4535055,4/6/2016,Wednesday,,39,-94,,,,,,,,,"CONCATENATE("")"
-0.2801216,3.5877113,8.930372,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.20590134,3.550601,8.889671,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.08259996,3.5565867,8.907627,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.36152446,3.526659,9.625888,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.40701428,3.5242648,9.518148,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.30047232,3.5206735,9.130288,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.10654198,3.5410242,8.942344,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.009576807,3.5470097,9.046491,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.1592144,3.5350387,9.31943,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.35434186,3.4991257,9.461885,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.41180268,3.5206735,9.349358,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.30166942,3.4931402,9.223662,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.15801731,3.5458126,8.965088,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.10055647,3.5338416,9.078813,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.17956513,3.5242648,9.168595,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.30645782,3.4979286,9.303867,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2693477,3.466804,9.466674,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.20350714,3.442862,9.43076,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.23702596,3.478775,9.211691,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.19632454,3.5206735,9.053674,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
